work_unit,lower_bound,upper_bound,expected_output,output_variance,wage_cost,expected_idle_time,idle_variance
1,4.0,15.0,15.22949397042487,0.00017339877332962314,19.769733223887215,59.978878376230824,0.0002082472918982395
2,2.0,13.0,3.0,0.00028263188495389335,8.235479392790818,41.16656399355566,0.0003590043659573076
3,1.0,10.0,19.723956633870316,0.00024644265711452424,24.511935530482567,37.7257724536954,0.0004262010087193728
4,4.0,11.0,30.485168383275344,0.00011543387620750106,35.499379795770345,43.46575049363386,0.0002608765602691174
5,1.0,12.0,13.544982532669149,0.00040264640964226514,28.5329940601424,58.248031970132686,9.671172960122215e-05
6,2.0,11.0,21.379291382217037,0.0002141972505508098,31.02035604139442,29.356229935659577,0.00023053355526830835
7,4.0,10.0,14.239404843757875,0.00019983215686263605,31.84310280813675,53.61950042474963,0.00020605492361045274
8,1.0,13.0,5.73025018317292,0.00010160072927844689,20.622376874699686,40.85292359532732,0.00046388923597266604
9,2.0,9.0,21.460675313655752,0.0006837159027285411,27.396515444109404,39.018760102074225,0.00010155469400310296
10,4.0,11.0,9.254558078113273,0.00026744170215457113,14.063102304020223,57.407949569164245,0.00042852207105304943
11,1.0,10.0,7.349690589030494,0.00024414349706232175,26.51445009092413,50.546154250116665,0.00014182945757265487
12,3.0,10.0,8.791921185746638,0.00035650447442899826,8.0,74.05871584504052,6.879767486920286e-05
13,3.0,10.0,16.474904713482246,0.00015322143387017442,27.922408260994935,25.112502861864222,0.0003760956830277024
14,2.0,9.0,11.794187382146117,0.00031276154820033847,22.649663412112094,53.33260017976199,7.756089004382064e-05
15,4.0,12.0,24.863736284951177,0.0003076347173233227,22.517063765796934,45.25952950026155,0.0004477649656545204
16,1.0,7.0,13.730119973751954,0.00040993365582965357,23.963176555979707,43.26308966004048,0.0005054549829240502
17,4.0,10.0,19.648182773629454,0.0004639304361570387,39.067153096951756,12.34396356080029,0.0005917524625449341
18,1.0,13.0,17.995382881611217,0.0003554530345353914,21.833551644623242,24.476783347132884,0.0003361939751587122
19,1.0,13.0,14.533045676123741,0.0003184160381217081,25.242509742463618,62.65400629910545,0.0005724287792361586
20,3.0,10.0,10.24023322775658,0.0003922725826612141,23.847241186245213,47.2032563960303,0.0004245556758591181
21,1.0,12.0,21.810352037301726,0.0003402368948939465,26.2545169608503,68.44850123090437,0.0005516098381752278
22,3.0,15.0,13.709649476094484,0.0002508744607104109,29.921496589573902,62.52559127480524,0.00023723391982033524
23,2.0,8.0,24.50725402740156,0.00020357546872459286,25.69225214301377,60.77376491397046,0.00028830415324984616
24,4.0,12.0,12.456059162339443,0.00040983291639098724,24.76823976951973,15.478722660386815,0.00024047463597175132
25,3.0,13.0,3.0,0.00046594169027988375,25.41507578558593,44.68658430436255,0.000478069311520099
26,3.0,11.0,19.334591572887796,0.00020553315678528648,28.77702139198868,59.96985021443668,0.00025467869612271073
27,1.0,8.0,17.282600149596846,0.00022448633504018088,13.286140642757811,23.660978800495347,0.00036429184795693057
28,3.0,11.0,14.07623971291453,0.00020796767957155879,8.624724124759314,43.44951484860297,0.0005432017691017072
29,4.0,11.0,22.757032144043933,0.00017885862858939378,13.907780469700285,24.810568716124006,0.00036314738583767195
30,2.0,13.0,4.152601527090647,0.000516886010239836,23.08568112856154,53.24931122863127,0.00013953391940411798
31,4.0,13.0,11.290347646388849,0.0005135291232602206,8.0,70.46160414992457,0.0002160575324735757
32,4.0,12.0,37.022080720585166,0.00021060581217798176,40.597192592297674,48.43718859202564,7.271766122552915e-05
33,4.0,12.0,3.0,0.00016280087528981567,29.956489206328477,51.2668095987818,0.00033898164075689744
34,3.0,9.0,19.932096125476008,0.0004669648807896155,12.278159851633205,45.7425350313148,0.00019128995211928462
35,1.0,12.0,29.855024730754952,0.0007325250943279643,23.759025781538483,25.64551914726194,0.000261573777168499
36,1.0,13.0,19.31016895537194,0.0003186767234765579,26.399189495919074,21.81238962017373,0.00023928478936427236
37,2.0,12.0,18.768282074196133,0.0006632892798353779,14.58647932665609,55.52924306049174,0.0005840280421592915
38,1.0,7.0,20.031083161371004,0.0007003006490541776,11.606434294804846,37.00153808136103,0.0001428588533207053
39,3.0,13.0,14.218870139411823,0.0003725560288228379,18.47129138290325,21.770882448580004,0.0002403700111446006
40,2.0,12.0,17.892708691775695,0.0001647180122259309,24.383603140023496,68.2080258274969,0.00015537772348695576
41,2.0,12.0,21.67158772548367,0.0002727560968887201,14.823866415453985,30.828395915976273,0.0008451207093664947
42,1.0,9.0,11.587440328141543,0.000323644090660385,21.270373426527808,42.42030307960306,0.0005915934226575603
43,4.0,16.0,10.291466997275133,0.0005979630455700245,34.9096358665806,47.398842395209556,0.0001475024589217741
44,1.0,11.0,6.102813553142651,0.00028899146669780345,25.925511712035203,64.95425748329288,0.0004158252110893401
45,2.0,9.0,16.381432678241175,0.00020067350842219834,21.30930900781245,45.11931791856937,0.0004091983829824608
46,2.0,9.0,8.0794567357438,0.0006744339722211039,21.2799569048239,61.042040901706905,0.0001468549251218178
47,3.0,9.0,10.833071683999783,0.00023629453225488135,27.349420759866135,54.36117005278957,0.0003095252935628701
48,4.0,10.0,25.482773387822995,0.00044741979847056534,8.0,48.45551128977024,0.0002346608507674856
49,2.0,11.0,15.966836913377435,0.0003434426657962285,8.0,32.42024519941843,0.00026732385076212424
50,4.0,12.0,17.197089952520034,0.00034092647667490785,24.322598366375644,40.39542771736414,0.00017635839010093262
51,4.0,10.0,3.0,0.00028572102878360577,21.508816895643264,27.460056973177736,0.0001533449448238424
52,3.0,15.0,15.729818797588402,0.00040805181459060595,18.056136333292486,8.0,0.0001573167648123834
53,4.0,13.0,12.921489669814816,0.00031294299362839714,23.04318175450409,27.690026309613337,0.00037414387393096477
54,2.0,8.0,25.330326207653144,0.0002205317501836342,19.49657200245005,60.50968484194855,0.00021883579983920234
55,1.0,13.0,3.0,0.0003330985445148024,11.676176475546391,28.976579899002747,0.0002907134501024205
56,2.0,12.0,19.247140120300436,0.0008174563890748066,20.579594101205174,26.487592564360806,0.00025680181886487296
57,2.0,11.0,15.098430458510277,0.0005128091305359076,20.00959765136624,50.04302945732027,0.00016606498040857494
58,2.0,8.0,9.190798118749454,0.000259008178109485,30.579568737258782,46.16444049844587,0.00041500383339211714
59,2.0,11.0,15.111175373688228,0.0004939310713341703,21.87810000810383,60.01807378439449,0.0003254680182010108
60,4.0,14.0,20.411506028998925,0.0004398084927662021,22.305119085508707,68.00723026475814,0.00021442902832281878
61,1.0,10.0,23.099807313632812,0.0003232745371186182,20.37408648463914,75.31107407037535,0.0002081886871077779
62,1.0,9.0,26.43087694647415,0.00026821728261534645,15.563761058861493,69.44364149749411,0.00035470868151132943
63,2.0,12.0,21.146107238555146,0.00040755305723360084,20.32908838166213,28.431176723663512,0.0002826355238877537
64,2.0,12.0,13.371562907153757,0.0002555425099979651,23.43780759662177,23.485572899981282,0.0005251617192661553
65,3.0,10.0,12.491825489706226,0.00015350433153689128,20.934168553694594,58.0889398589204,0.0011759277111370431
66,3.0,13.0,23.11976978129312,0.00028884969765112663,11.883997806722647,17.158057792299825,0.0003006778776297822
67,4.0,12.0,12.285555755251476,0.0001286301298222997,18.8132577964044,47.54922672667535,0.00024271868836555434
68,1.0,7.0,7.234713376797238,0.00039860925880474263,17.382564480796376,57.20763939045393,0.0004892360593830429
69,2.0,14.0,9.45575002801339,0.0001955923027674687,15.365164819745942,36.85192339997202,0.0003194408464419059
70,2.0,11.0,15.063921913487627,0.0002089089132299613,28.341175586863425,59.74986651918416,0.0005955138206714265
71,4.0,16.0,17.63298140471975,0.0001198514847347465,21.269184300181372,39.22386338374409,0.0005337689658124837
72,4.0,14.0,18.562686542745848,0.00038799104877054144,21.053447156522093,46.81747146689072,0.00011917187018680652
73,3.0,12.0,15.770937583803335,0.00014808507303176095,24.406800882847687,68.013582645707,0.0004211493868678598
74,3.0,14.0,8.53182899975628,0.0007100716485763436,17.527888448619596,46.407932391761015,0.00041940305896335877
75,3.0,12.0,7.650405244850097,0.0004781444516084716,28.418499690739164,38.99912630230224,0.0002999576827914041
76,3.0,11.0,3.0,0.00033151596229273237,21.922938703453628,23.104689072861227,0.00014061106266864129
77,1.0,13.0,18.471491868251793,0.0002570411465806732,18.667028026727323,36.857186182967105,0.00010828035712096722
78,4.0,12.0,6.887496268602879,0.0003912728078496464,11.007886551872916,37.46148870527965,0.0003664447350260947
79,1.0,10.0,24.509239041641408,0.00013429429960762156,9.901090221261434,29.670956409152623,0.0007285504958312254
80,3.0,15.0,18.496248896847284,0.00020218378904467312,23.459066809899063,31.05036103047461,0.0001793635956781345
81,3.0,13.0,3.0,0.0006369695696510837,19.7614936494162,41.695167610124244,0.0002979175708171962
82,4.0,13.0,21.959123264443676,0.0002010199949431045,28.49629647439896,25.601479169863282,0.00029144331067837187
83,2.0,9.0,17.768398148185224,0.00033233225501169716,18.799738684674825,59.52121030066223,0.00022397783518005417
84,1.0,12.0,14.728668284299058,0.0002006341037414016,25.764878242385876,41.88800848490734,0.0001400593392127458
85,2.0,8.0,21.93876673090084,0.00037853870059217367,20.663647955166834,58.77941326400755,0.0001889547983454116
86,1.0,7.0,9.297032196793598,0.00011130261039706078,12.121800525778928,50.010190399734256,0.0002675773105317015
87,3.0,10.0,9.813396537448241,0.0003873899158579066,24.02430866335921,29.932485165044042,0.0005557710219320435
88,4.0,16.0,16.697048562119768,0.00020029155391097748,25.703508717582366,49.27848204649377,0.00021803750513880418
89,2.0,11.0,26.171696358386573,0.00022349837073317222,29.906340790294728,41.14779913773114,0.00029637855426094175
90,1.0,10.0,24.27382458661729,0.00028258669143453195,40.4971700547451,73.04622048312397,9.609991942155707e-05
91,2.0,12.0,9.297040989307883,0.0004902934623091838,13.299199528020639,66.37475273826828,0.00029443907188998774
92,1.0,11.0,15.319130012453087,0.00031549674458488823,16.38473597597404,55.54523788104636,0.00037551936228119934
93,2.0,12.0,14.680252683238459,0.0004707633957357776,14.718355129531904,51.50748517542621,0.0006198117601201717
